Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
,Paraguay,4/23/2020 08:44,213,9,62,6292,1
,Congo,4/23/2020 08:44,186,6,16,0,0
,Faeroe Islands,4/23/2020 08:44,185,0,178,6270,0
,Gabon,4/23/2020 08:44,166,1,24,572,2
,Martinique,4/23/2020 08:44,164,14,73,0,6
,Rwanda,4/23/2020 08:44,153,0,84,6959,0
,Guadeloupe,4/23/2020 08:44,148,12,73,0,13
,Sudan,4/23/2020 08:44,140,13,12,0,0
,Brunei,4/23/2020 08:44,138,1,117,12149,2
,Gibraltar,4/23/2020 08:44,132,0,120,1912,1
,Myanmar,4/23/2020 08:44,123,5,7,5198,0
,Cambodia,4/23/2020 08:44,122,0,110,5768,1
,Madagascar,4/23/2020 08:44,121,0,52,2357,1
,Ethiopia,4/23/2020 08:44,116,3,21,9771,0
,Trinidad and Tobago,4/23/2020 08:44,115,8,37,1425,0
,Liberia,4/23/2020 08:44,101,8,20,0,0
,Aruba,4/23/2020 08:44,100,2,68,1504,4
,Bermuda,4/23/2020 08:44,99,5,39,949,10
,French Guiana,4/23/2020 08:44,97,1,83,0,1
,Monaco,4/23/2020 08:44,94,3,26,0,2
,Togo,4/23/2020 08:44,88,6,56,4733,0
,Maldives,4/23/2020 08:44,86,0,16,4139,2
,Equatorial Guinea,4/23/2020 08:44,84,1,7,854,0
,Liechtenstein,4/23/2020 08:44,81,1,55,900,0
,Barbados,4/23/2020 08:44,75,5,25,1098,4
,Zambia,4/23/2020 08:44,74,3,35,2586,1
,Cabo Verde,4/23/2020 08:44,73,1,1,0,0
,Sint Maarten,4/23/2020 08:44,71,11,22,258,2
,Guyana,4/23/2020 08:44,67,7,9,348,5
,Cayman Islands,4/23/2020 08:44,66,1,7,778,3
,Bahamas,4/23/2020 08:44,65,9,12,0,1
,Uganda,4/23/2020 08:44,63,0,45,14761,0
,Haiti,4/23/2020 08:44,62,4,2,642,0
,Sierra Leone,4/23/2020 08:44,61,0,6,0,0
,Libya,4/23/2020 08:44,59,1,15,891,0
,French Polynesia,4/23/2020 08:44,57,0,35,1655,1
,Benin,4/23/2020 08:44,54,1,27,0,0
,Guinea-Bissau,4/23/2020 08:44,50,0,3,1500,0
Macau,Macau,4/23/2020 08:44,45,0,26,0,1
,Nepal,4/23/2020 08:44,45,0,7,8773,0
,Syria,4/23/2020 08:44,42,3,6,0,0
,Mozambique,4/23/2020 08:44,41,0,8,1247,0
,Eritrea,4/23/2020 08:44,39,0,6,0,0
,Saint Martin,4/23/2020 08:44,38,2,19,0,3
,Mongolia,4/23/2020 08:44,35,0,8,7130,0
,Chad,4/23/2020 08:44,33,0,8,0,0
,Eswatini,4/23/2020 08:44,31,1,8,714,0
,Zimbabwe,4/23/2020 08:44,28,3,2,4159,0
,Angola,4/23/2020 08:44,25,2,6,0,0
,Antigua and Barbuda,4/23/2020 08:44,24,3,10,108,1
,Malawi,4/23/2020 08:44,23,3,3,519,1
,Timor-Leste,4/23/2020 08:44,23,0,1,322,0
,Botswana,4/23/2020 08:44,22,1,0,4432,0
,Laos,4/23/2020 08:44,19,0,4,1461,0
,Belize,4/23/2020 08:44,18,2,2,785,1
,Fiji,4/23/2020 08:44,18,0,8,0,0
,New Caledonia,4/23/2020 08:44,18,0,17,3552,1
,Dominica,4/23/2020 08:44,16,0,9,377,0
,Namibia,4/23/2020 08:44,16,0,6,524,0
,Grenada,4/23/2020 08:44,15,0,6,92,4
,Saint Kitts and Nevis,4/23/2020 08:44,15,0,1,257,0
,Saint Lucia,4/23/2020 08:44,15,0,15,364,0
,Curacao,4/23/2020 08:44,14,1,11,302,0
,CAR,4/23/2020 08:44,14,0,10,0,0
,St. Vincent Grenadines,4/23/2020 08:44,13,0,3,99,0
,Burundi,4/23/2020 08:44,11,1,4,284,0
,Turks and Caicos,4/23/2020 08:44,11,1,4,83,0
,Falkland Islands,4/23/2020 08:44,11,0,3,319,0
,Greenland,4/23/2020 08:44,11,0,11,1150,0
,Montserrat,4/23/2020 08:44,11,0,2,36,1
