Confirmed,DayElapsed,Region
576,53,Chongqing
576,52,Chongqing
576,51,Chongqing
576,50,Chongqing
576,49,Chongqing
576,48,Chongqing
576,47,Chongqing
576,46,Chongqing
576,45,Chongqing
576,44,Chongqing
576,43,Chongqing
576,42,Chongqing
576,41,Chongqing
576,40,Chongqing
576,39,Chongqing
576,38,Chongqing
576,37,Chongqing
576,36,Chongqing
576,35,Chongqing
576,34,Chongqing
576,33,Chongqing
576,32,Chongqing
576,31,Chongqing
576,30,Chongqing
575,29,Chongqing
573,28,Chongqing
572,27,Chongqing
567,26,Chongqing
560,25,Chongqing
555,24,Chongqing
553,23,Chongqing
552,22,Chongqing
547,21,Chongqing
538,20,Chongqing
532,19,Chongqing
525,18,Chongqing
509,17,Chongqing
489,16,Chongqing
473,15,Chongqing
450,14,Chongqing
428,13,Chongqing
415,12,Chongqing
400,11,Chongqing
376,10,Chongqing
344,9,Chongqing
312,8,Chongqing
275,7,Chongqing
238,6,Chongqing
206,5,Chongqing
165,4,Chongqing
147,3,Chongqing
132,2,Chongqing
110,1,Chongqing
197,4,Arkansas
165,3,Arkansas
122,2,Arkansas
100,1,Arkansas
124,2,Kentucky
103,1,Kentucky
404,55,Shanghai
404,54,Shanghai
394,53,Shanghai
380,52,Shanghai
371,51,Shanghai
363,50,Shanghai
361,49,Shanghai
358,48,Shanghai
355,47,Shanghai
353,46,Shanghai
350,45,Shanghai
346,44,Shanghai
344,43,Shanghai
344,42,Shanghai
342,41,Shanghai
342,40,Shanghai
342,39,Shanghai
342,38,Shanghai
339,37,Shanghai
338,36,Shanghai
338,35,Shanghai
338,34,Shanghai
337,33,Shanghai
337,32,Shanghai
337,31,Shanghai
337,30,Shanghai
337,29,Shanghai
336,28,Shanghai
336,27,Shanghai
335,26,Shanghai
335,25,Shanghai
335,24,Shanghai
334,23,Shanghai
334,22,Shanghai
333,21,Shanghai
333,20,Shanghai
332,19,Shanghai
328,18,Shanghai
326,17,Shanghai
318,16,Shanghai
315,15,Shanghai
311,14,Shanghai
303,13,Shanghai
299,12,Shanghai
293,11,Shanghai
286,10,Shanghai
277,9,Shanghai
257,8,Shanghai
243,7,Shanghai
219,6,Shanghai
203,5,Shanghai
182,4,Shanghai
153,3,Shanghai
128,2,Shanghai
101,1,Shanghai
2844,9,New Jersey
1914,8,New Jersey
1327,7,New Jersey
890,6,New Jersey
742,5,New Jersey
427,4,New Jersey
267,3,New Jersey
179,2,New Jersey
109,1,New Jersey
216,2,Missouri
150,1,Missouri
319,52,Hebei
319,51,Hebei
319,50,Hebei
318,49,Hebei
318,48,Hebei
318,47,Hebei
318,46,Hebei
318,45,Hebei
318,44,Hebei
318,43,Hebei
318,42,Hebei
318,41,Hebei
318,40,Hebei
318,39,Hebei
318,38,Hebei
318,37,Hebei
318,36,Hebei
318,35,Hebei
318,34,Hebei
318,33,Hebei
318,32,Hebei
318,31,Hebei
318,30,Hebei
318,29,Hebei
318,28,Hebei
318,27,Hebei
317,26,Hebei
