Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon
,Dominican Republic,04/01/2020 04:30,1109,51,5,2020-04-01 20:30:00,1053,10770000,19.0974031,-70.30280259999999
,Peru,04/01/2020 04:30,1065,30,394,2020-04-01 20:30:00,641,32170000,-6.8699697,-75.0458515
,Argentina,04/01/2020 04:30,1054,27,240,2020-04-01 20:30:00,787,44270000,-34.9964963,-64.9672817
,Singapore,04/01/2020 04:30,926,3,240,2020-04-01 20:30:00,683,5612000,1.340863,103.8303918
,Colombia,04/01/2020 04:30,906,16,31,2020-04-01 20:30:00,859,49070000,2.8894433999999998,-73.78389200000001
,Serbia,04/01/2020 04:30,900,23,42,2020-04-01 20:30:00,835,7022000,44.02432279999999,21.0765743
,Croatia,04/01/2020 04:30,867,6,67,2020-04-01 20:30:00,794,4067000,45.5643442,17.0118954
,Slovenia,04/01/2020 04:30,802,15,10,2020-04-01 20:30:00,777,2067000,45.813311299999995,14.4808369
,Qatar,04/01/2020 04:30,781,2,62,2020-04-01 20:30:00,717,2639000,25.3336984,51.2295295
,Estonia,04/01/2020 04:30,779,4,26,2020-04-01 20:30:00,749,1328000,58.75237779999999,25.3319078
,Algeria,04/01/2020 04:30,716,44,46,2020-04-01 20:30:00,626,41320000,28.000027199999998,2.9999825
Hong Kong,Hong Kong,04/01/2020 04:30,715,4,128,2020-04-01 20:30:00,583,7392000,22.2793278,114.16281310000001
Yokohama,Japan,04/01/2020 04:30,712,11,603,2020-04-01 20:30:00,98,3700,35.444990999999995,139.636768
,Egypt,04/01/2020 04:30,710,46,157,2020-04-01 20:30:00,507,97550000,26.254049300000002,29.2675469
,New Zealand,04/01/2020 04:30,708,1,83,2020-04-01 20:30:00,624,4794000,-41.5000831,172.83440769999999
,Iraq,04/01/2020 04:30,694,50,170,2020-04-01 20:30:00,474,38270000,33.0955793,44.174977500000004
,Ukraine,04/01/2020 04:30,669,17,10,2020-04-01 20:30:00,642,42220000,49.4871968,31.2718321
,United Arab Emirates,04/01/2020 04:30,664,6,61,2020-04-01 20:30:00,597,9400000,24.0002488,53.999482900000004
,Morocco,04/01/2020 04:30,638,36,24,2020-04-01 20:30:00,578,35740000,31.1728205,-7.3362482
,Lithuania,04/01/2020 04:30,581,8,7,2020-04-01 20:30:00,566,2794000,55.350000300000005,23.7499997
,Armenia,04/01/2020 04:30,571,3,31,2020-04-01 20:30:00,537,2973000,40.7696272,44.6736646
,Bahrain,04/01/2020 04:30,567,4,316,2020-04-01 20:30:00,247,1493000,26.155124899999997,50.5344606
,Hungary,04/01/2020 04:30,525,20,40,2020-04-01 20:30:00,465,9773000,47.1817585,19.5060937
,Lebanon,04/01/2020 04:30,463,12,37,2020-04-01 20:30:00,414,6082000,33.875062899999996,35.843409
,Bosnia and Herzegovina,04/01/2020 04:30,448,13,17,2020-04-01 20:30:00,418,3507000,44.305347600000005,17.596146700000002
,Latvia,04/01/2020 04:30,446,0,1,2020-04-01 20:30:00,445,1920000,56.8406494,24.7537645
,Bulgaria,04/01/2020 04:30,412,8,20,2020-04-01 20:30:00,384,7050000,42.6073975,25.4856617
,Tunisia,04/01/2020 04:30,394,10,3,2020-04-01 20:30:00,381,11530000,33.8439408,9.400138
,Andorra,04/01/2020 04:30,376,12,10,2020-04-01 20:30:00,354,76965,42.540716700000004,1.5732033
,Kazakhstan,04/01/2020 04:30,369,3,24,2020-04-01 20:30:00,342,18040000,47.2286086,65.20931970000001
,Slovakia,04/01/2020 04:30,363,0,3,2020-04-01 20:30:00,360,5450000,48.74115220000001,19.4528646
,Moldova,04/01/2020 04:30,353,4,18,2020-04-01 20:30:00,331,3550000,47.28796079999999,28.5670941
,Costa Rica,04/01/2020 04:30,347,2,4,2020-04-01 20:30:00,341,4906000,10.2735633,-84.0739102
,Uruguay,04/01/2020 04:30,338,1,41,2020-04-01 20:30:00,296,3457000,-32.8755548,-56.0201525
,North Macedonia,04/01/2020 04:30,329,9,12,2020-04-01 20:30:00,308,2077000,41.617121399999995,21.7168387
Taiwan,Taiwan,04/01/2020 04:30,329,5,45,2020-04-01 20:30:00,279,23780000,23.973937399999997,120.9820179
,Azerbaijan,04/01/2020 04:30,298,5,26,2020-04-01 20:30:00,267,9898000,40.3936294,47.787250799999995
,Kuwait,04/01/2020 04:30,289,0,80,2020-04-01 20:30:00,209,4137000,29.2733964,47.4979476
,Jordan,04/01/2020 04:30,274,5,30,2020-04-01 20:30:00,239,9702000,31.1667049,36.941628
,Cyprus,04/01/2020 04:30,262,8,23,2020-04-01 20:30:00,231,1170000,34.982301799999995,33.1451285
,Burkina Faso,04/01/2020 04:30,261,14,32,2020-04-01 20:30:00,215,19190000,12.075308300000001,-1.6880313999999998
,Reunion,04/01/2020 04:30,247,0,1,2020-04-01 20:30:00,246,859959,-21.1309332,55.526577100000004
,Albania,04/01/2020 04:30,243,15,52,2020-04-01 20:30:00,176,2877000,41.000028,19.9999619
,San Marino,04/01/2020 04:30,236,26,13,2020-04-01 20:30:00,197,33400,43.945862299999995,12.458306
,Cameroon,04/01/2020 04:30,223,6,5,2020-04-01 20:30:00,212,24050000,4.6125522000000005,13.153581099999998
,Vietnam,04/01/2020 04:30,212,0,58,2020-04-01 20:30:00,154,95540000,13.2904027,108.42651129999999
,Oman,04/01/2020 04:30,210,1,34,2020-04-01 20:30:00,175,4636000,21.000028699999998,57.00369010000001
,Afghanistan,04/01/2020 04:30,196,4,5,2020-04-01 20:30:00,187,35530000,33.7680065,66.2385139
