Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
,Italy,04/21/2020 07:00,181228,24114,48877,1398024,2573,2020-04-21 22:00:00,108237,60480000.0,45.6209,9.768892999999998,Europe,Worldwide
,France,04/21/2020 07:00,155383,20265,37409,463662,5683,2020-04-21 22:00:00,97709,66990000.0,46.603353999999996,1.8883334999999999,Europe,Worldwide
,Germany,04/21/2020 07:00,147065,4862,95200,1728357,2889,2020-04-21 22:00:00,47003,82790000.0,51.0834196,10.4234469,Europe,Worldwide
,UK,04/21/2020 07:00,124743,16509,626,501379,1559,2020-04-21 22:00:00,107608,66440000.0,54.702354500000006,-3.2765752999999997,Europe,Worldwide
,Turkey,04/21/2020 07:00,90980,2140,13430,673980,1909,2020-04-21 22:00:00,75410,80810000.0,38.959759399999996,34.9249653,Asia,Worldwide
,Iran,04/21/2020 07:00,84802,5297,60965,365723,3357,2020-04-21 22:00:00,18540,81160000.0,32.6475314,54.56435160000001,Asia,Worldwide
,Russia,04/21/2020 07:00,52763,456,3873,2142604,700,2020-04-21 22:00:00,48434,144500000.0,64.6863136,97.7453061,Europe,Worldwide
Brussels,Belgium,04/21/2020 07:00,40956,5998,9002,167110,1079,2020-04-21 22:00:00,25956,11400000.0,50.8436709,4.3674367,Europe,Worldwide
,Brazil,04/21/2020 07:00,40814,2588,22991,291922,8318,2020-04-21 22:00:00,15235,209300000.0,-10.333333300000001,-53.2,South America,Worldwide
,Netherlands,04/21/2020 07:00,33405,3751,322,171415,1158,2020-04-21 22:00:00,29332,17180000.0,52.500169799999995,5.7480820999999995,Europe,Worldwide
,Switzerland,04/21/2020 07:00,27944,1436,18600,224442,386,2020-04-21 22:00:00,7908,8570000.0,46.7985624,8.231973599999998,Europe,Worldwide
,Portugal,04/21/2020 07:00,20863,735,610,235878,215,2020-04-21 22:00:00,19518,10290000.0,40.0332629,-7.889626299999999,Europe,Worldwide
,India,04/21/2020 07:00,18658,592,3273,401586,0,2020-04-21 22:00:00,14793,1339000000.0,22.3511148,78.6677428,Asia,Worldwide
,Peru,04/21/2020 07:00,16325,445,6968,148011,385,2020-04-21 22:00:00,8912,32170000.0,-6.8699697,-75.0458515,South America,Worldwide
,Ireland,04/21/2020 07:00,15652,687,77,90646,294,2020-04-21 22:00:00,14888,4830000.0,52.865196,-7.9794599,Europe,Worldwide
,Austria,04/21/2020 07:00,14873,491,10971,189018,196,2020-04-21 22:00:00,3411,8822000.0,47.2000338,13.199959,Europe,Worldwide
,Sweden,04/21/2020 07:00,14777,1580,550,74600,521,2020-04-21 22:00:00,12647,10120000.0,59.67497120000001,14.5208584,Europe,Worldwide
,Israel,04/21/2020 07:00,13883,181,4353,240303,142,2020-04-21 22:00:00,9349,8712000.0,31.531311300000002,34.8667654,Asia,Worldwide
,Japan,04/21/2020 07:00,11135,263,1239,116725,217,2020-04-21 22:00:00,9633,126800000.0,36.5748441,139.2394179,Asia,Worldwide
,South Korea,04/21/2020 07:00,10683,237,8213,571014,55,2020-04-21 22:00:00,2233,51470000.0,35.8713,128.6018,Asia,Worldwide
,Chile,04/21/2020 07:00,10507,139,4676,118827,377,2020-04-21 22:00:00,5692,18050000.0,-31.7613365,-71.3187697,South America,Worldwide
,Saudi Arabia,04/21/2020 07:00,10484,103,1490,180000,88,2020-04-21 22:00:00,8891,32940000.0,25.624261800000003,42.352832799999995,Asia,Worldwide
,Ecuador,04/21/2020 07:00,10128,507,1150,32453,124,2020-04-21 22:00:00,8471,16620000.0,-1.3397668,-79.3666965,South America,Worldwide
,Poland,04/21/2020 07:00,9737,385,1297,214236,160,2020-04-21 22:00:00,8055,37980000.0,52.215933,19.134422,Europe,Worldwide
,Romania,04/21/2020 07:00,9242,482,2153,101552,245,2020-04-21 22:00:00,6607,19530000.0,45.98521289999999,24.6859225,Europe,Worldwide
,Pakistan,04/21/2020 07:00,9216,192,2066,111806,46,2020-04-21 22:00:00,6958,197000000.0,30.3308401,71.247499,Asia,Worldwide
,Singapore,04/21/2020 07:00,9125,11,801,94796,23,2020-04-21 22:00:00,8313,5612000.0,1.340863,103.8303918,Asia,Worldwide
,Mexico,04/21/2020 07:00,8772,712,2627,49570,378,2020-04-21 22:00:00,5433,129200000.0,19.4326296,-99.1331785,North America,Worldwide
,United Arab Emirates,04/21/2020 07:00,7755,46,1443,790000,1,2020-04-21 22:00:00,6266,9400000.0,24.0002488,53.999482900000004,Asia,Worldwide
,Denmark,04/21/2020 07:00,7695,364,4312,100543,84,2020-04-21 22:00:00,3019,5603000.0,55.670249,10.333328300000002,Europe,Worldwide
,Norway,04/21/2020 07:00,7156,182,32,143255,56,2020-04-21 22:00:00,6942,5368000.0,60.5000209,9.099971499999999,Europe,Worldwide
,Indonesia,04/21/2020 07:00,7135,616,842,49767,0,2020-04-21 22:00:00,5677,264000000.0,-2.4833826,117.89028529999999,Asia,Worldwide
,Czechia,04/21/2020 07:00,6914,196,1597,178617,75,2020-04-21 22:00:00,5121,10650000.0,49.816700299999994,15.4749544,Europe,Worldwide
,Serbia,04/21/2020 07:00,6630,125,870,41812,108,2020-04-21 22:00:00,5635,7022000.0,44.02432279999999,21.0765743,Europe,Worldwide
,Philippines,04/21/2020 07:00,6599,437,654,59928,1,2020-04-21 22:00:00,5508,104900000.0,12.750348599999999,122.7312101,Asia,Worldwide
,Qatar,04/21/2020 07:00,6533,9,614,66725,37,2020-04-21 22:00:00,5910,2639000.0,25.3336984,51.2295295,Asia,Worldwide
,Belarus,04/21/2020 07:00,6264,51,514,102556,92,2020-04-21 22:00:00,5699,9508000.0,53.4250605,27.6971358,Europe,Worldwide
,Ukraine,04/21/2020 07:00,6125,161,367,61997,45,2020-04-21 22:00:00,5597,42220000.0,49.4871968,31.2718321,Europe,Worldwide
,Malaysia,04/21/2020 07:00,5482,92,3349,108216,43,2020-04-21 22:00:00,2041,31620000.0,4.5693754,102.2656823,Asia,Worldwide
,Dominican Republic,04/21/2020 07:00,4964,235,416,57809,128,2020-04-21 22:00:00,4313,10770000.0,19.0974031,-70.30280259999999,North America,Worldwide
,Panama,04/21/2020 07:00,4658,136,204,20996,98,2020-04-21 22:00:00,4318,4099000.0,8.559559,-81.1308434,North America,Worldwide
,Finland,04/21/2020 07:00,4014,98,2000,61447,67,2020-04-21 22:00:00,1916,5513000.0,63.2467777,25.9209164,Europe,Worldwide
,Colombia,04/21/2020 07:00,3977,189,804,65169,98,2020-04-21 22:00:00,2984,49070000.0,2.8894433999999998,-73.78389200000001,South America,Worldwide
,Luxembourg,04/21/2020 07:00,3558,75,637,33798,32,2020-04-21 22:00:00,2846,602005.0,49.8158683,6.1296751,Europe,Worldwide
,Bangladesh,04/21/2020 07:00,3382,110,87,29578,1,2020-04-21 22:00:00,3185,164700000.0,24.4768598,90.29322990000001,Asia,Worldwide
,Egypt,04/21/2020 07:00,3333,250,821,55000,0,2020-04-21 22:00:00,2262,97550000.0,26.254049300000002,29.2675469,Africa,Worldwide
,South Africa,04/21/2020 07:00,3300,58,1055,121510,36,2020-04-21 22:00:00,2187,56720000.0,-28.816623600000003,24.991639000000003,Africa,Worldwide
,Morocco,04/21/2020 07:00,3186,144,359,17204,1,2020-04-21 22:00:00,2683,35740000.0,31.1728205,-7.3362482,Africa,Worldwide
,Argentina,04/21/2020 07:00,3031,142,737,34568,123,2020-04-21 22:00:00,2152,44270000.0,-34.9964963,-64.9672817,South America,Worldwide
,Thailand,04/21/2020 07:00,2811,48,2108,142589,61,2020-04-21 22:00:00,655,69040000.0,14.8971921,100.83273,Asia,Worldwide
,Algeria,04/21/2020 07:00,2718,384,1099,6500,40,2020-04-21 22:00:00,1235,41320000.0,28.000027199999998,2.9999825,Africa,Worldwide
,Moldova,04/21/2020 07:00,2548,72,505,11763,212,2020-04-21 22:00:00,1971,3550000.0,47.28796079999999,28.5670941,Europe,Worldwide
,Greece,04/21/2020 07:00,2245,116,577,54344,61,2020-04-21 22:00:00,1552,10740000.0,38.995368299999996,21.987713199999998,Europe,Worldwide
