Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
Brussels,Belgium,04/16/2020 07:00,34809,4857,7562,2020-04-16 22:00:00,22390,11400000,50.8436709,4.3674367,Europe,Worldwide
,Brazil,04/16/2020 07:00,29015,1760,14026,2020-04-16 22:00:00,13229,209300000,-10.333333300000001,-53.2,South America,Worldwide
,Netherlands,04/16/2020 07:00,28153,3134,250,2020-04-16 22:00:00,24769,17180000,52.500169799999995,5.7480820999999995,Europe,Worldwide
,Russia,04/16/2020 07:00,27938,232,2304,2020-04-16 22:00:00,25402,144500000,64.6863136,97.7453061,Europe,Worldwide
,Switzerland,04/16/2020 07:00,26359,1254,15400,2020-04-16 22:00:00,9705,8570000,46.7985624,8.231973599999998,Europe,Worldwide
,Portugal,04/16/2020 07:00,18091,599,383,2020-04-16 22:00:00,17109,10290000,40.0332629,-7.889626299999999,Europe,Worldwide
,Austria,04/16/2020 07:00,14412,393,8098,2020-04-16 22:00:00,5921,8822000,47.2000338,13.199959,Europe,Worldwide
,Israel,04/16/2020 07:00,12591,140,2624,2020-04-16 22:00:00,9827,8712000,31.531311300000002,34.8667654,Asia,Worldwide
,Ireland,04/16/2020 07:00,12547,444,77,2020-04-16 22:00:00,12026,4830000,52.865196,-7.9794599,Europe,Worldwide
,India,04/16/2020 07:00,12456,423,1513,2020-04-16 22:00:00,10520,1339000000,22.3511148,78.6677428,Asia,Worldwide
,Sweden,04/16/2020 07:00,11927,1203,381,2020-04-16 22:00:00,10343,10120000,59.67497120000001,14.5208584,Europe,Worldwide
,Peru,04/16/2020 07:00,11475,254,3108,2020-04-16 22:00:00,8113,32170000,-6.8699697,-75.0458515,South America,Worldwide
,South Korea,04/16/2020 07:00,10613,229,7757,2020-04-16 22:00:00,2627,51470000,35.8713,128.6018,Asia,Worldwide
,Japan,04/16/2020 07:00,8626,178,901,2020-04-16 22:00:00,7547,126800000,36.5748441,139.2394179,Asia,Worldwide
,Chile,04/16/2020 07:00,8273,94,2937,2020-04-16 22:00:00,5242,18050000,-31.7613365,-71.3187697,South America,Worldwide
,Ecuador,04/16/2020 07:00,7858,388,780,2020-04-16 22:00:00,6690,16620000,-1.3397668,-79.3666965,South America,Worldwide
,Poland,04/16/2020 07:00,7771,292,774,2020-04-16 22:00:00,6705,37980000,52.215933,19.134422,Europe,Worldwide
,Romania,04/16/2020 07:00,7707,392,1357,2020-04-16 22:00:00,5958,19530000,45.98521289999999,24.6859225,Europe,Worldwide
,Denmark,04/16/2020 07:00,6879,309,2748,2020-04-16 22:00:00,3822,5603000,55.670249,10.333328300000002,Europe,Worldwide
,Norway,04/16/2020 07:00,6798,150,32,2020-04-16 22:00:00,6616,5368000,60.5000209,9.099971499999999,Europe,Worldwide
,Pakistan,04/16/2020 07:00,6505,124,1645,2020-04-16 22:00:00,4736,197000000,30.3308401,71.247499,Asia,Worldwide
,Czechia,04/16/2020 07:00,6303,166,831,2020-04-16 22:00:00,5306,10650000,49.816700299999994,15.4749544,Europe,Worldwide
,Saudi Arabia,04/16/2020 07:00,5862,79,931,2020-04-16 22:00:00,4852,32940000,25.624261800000003,42.352832799999995,Asia,Worldwide
,Mexico,04/16/2020 07:00,5847,449,2125,2020-04-16 22:00:00,3273,129200000,19.4326296,-99.1331785,North America,Worldwide
,Philippines,04/16/2020 07:00,5660,362,435,2020-04-16 22:00:00,4863,104900000,12.750348599999999,122.7312101,Asia,Worldwide
,Indonesia,04/16/2020 07:00,5516,496,548,2020-04-16 22:00:00,4472,264000000,-2.4833826,117.89028529999999,Asia,Worldwide
,United Arab Emirates,04/16/2020 07:00,5365,33,1034,2020-04-16 22:00:00,4298,9400000,24.0002488,53.999482900000004,Asia,Worldwide
,Malaysia,04/16/2020 07:00,5182,84,2766,2020-04-16 22:00:00,2332,31620000,4.5693754,102.2656823,Asia,Worldwide
,Serbia,04/16/2020 07:00,4873,99,400,2020-04-16 22:00:00,4374,7022000,44.02432279999999,21.0765743,Europe,Worldwide
,Belarus,04/16/2020 07:00,4204,40,203,2020-04-16 22:00:00,3961,9508000,53.4250605,27.6971358,Europe,Worldwide
,Ukraine,04/16/2020 07:00,4161,116,186,2020-04-16 22:00:00,3859,42220000,49.4871968,31.2718321,Europe,Worldwide
,Qatar,04/16/2020 07:00,4103,7,415,2020-04-16 22:00:00,3681,2639000,25.3336984,51.2295295,Asia,Worldwide
,Panama,04/16/2020 07:00,3751,103,75,2020-04-16 22:00:00,3573,4099000,8.559559,-81.1308434,North America,Worldwide
,Singapore,04/16/2020 07:00,3699,10,652,2020-04-16 22:00:00,3037,5612000,1.340863,103.8303918,Asia,Worldwide
,Dominican Republic,04/16/2020 07:00,3614,189,208,2020-04-16 22:00:00,3217,10770000,19.0974031,-70.30280259999999,North America,Worldwide
,Luxembourg,04/16/2020 07:00,3373,69,526,2020-04-16 22:00:00,2778,602005,49.8158683,6.1296751,Europe,Worldwide
,Finland,04/16/2020 07:00,3369,72,300,2020-04-16 22:00:00,2997,5513000,63.2467777,25.9209164,Europe,Worldwide
,Colombia,04/16/2020 07:00,3105,131,452,2020-04-16 22:00:00,2522,49070000,2.8894433999999998,-73.78389200000001,South America,Worldwide
,Thailand,04/16/2020 07:00,2672,46,1593,2020-04-16 22:00:00,1033,69040000,14.8971921,100.83273,Asia,Worldwide
,Argentina,04/16/2020 07:00,2571,112,596,2020-04-16 22:00:00,1863,44270000,-34.9964963,-64.9672817,South America,Worldwide
