Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,lat,lon
,Luxembourg,03/19/2020 23:30,335,4,6,2020-03-20 15:30:00,325,49.8158683,6.1296751
,Iceland,03/19/2020 23:30,330,0,5,2020-03-20 15:30:00,325,64.9841821,-18.1059013
,Slovenia,03/19/2020 23:30,319,1,0,2020-03-20 15:30:00,318,45.8133113,14.4808369
,Indonesia,03/19/2020 23:30,309,25,15,2020-03-20 15:30:00,269,-2.4833826,117.8902853
,Bahrain,03/19/2020 23:30,278,1,110,2020-03-20 15:30:00,167,26.1551249,50.5344606
,Romania,03/19/2020 23:30,277,0,25,2020-03-20 15:30:00,252,45.98521289999999,24.6859225
,Saudi Arabia,03/19/2020 23:30,274,0,8,2020-03-20 15:30:00,266,25.62426180000001,42.3528328
,Thailand,03/19/2020 23:30,272,1,42,2020-03-20 15:30:00,229,14.8971921,100.83273
,Estonia,03/19/2020 23:30,267,0,1,2020-03-20 15:30:00,266,58.75237779999999,25.3319078
,Ecuador,03/19/2020 23:30,260,3,1,2020-03-20 15:30:00,256,-1.3397668,-79.3666965
,Egypt,03/19/2020 23:30,256,7,42,2020-03-20 15:30:00,207,26.2540493,29.2675469
,Peru,03/19/2020 23:30,234,3,1,2020-03-20 15:30:00,230,-6.8699697,-75.0458515
,Philippines,03/19/2020 23:30,217,17,8,2020-03-20 15:30:00,192,12.7503486,122.7312101
Hong Kong,Hong Kong,03/19/2020 23:30,208,4,98,2020-03-20 15:30:00,106,22.2793278,114.1628131
,Russia,03/19/2020 23:30,199,1,8,2020-03-20 15:30:00,190,64.6863136,97.7453061
,India,03/19/2020 23:30,195,4,20,2020-03-20 15:30:00,171,22.3511148,78.6677428
,Iraq,03/19/2020 23:30,192,13,49,2020-03-20 15:30:00,130,33.0955793,44.1749775
,Mexico,03/19/2020 23:30,164,1,4,2020-03-20 15:30:00,159,19.4326296,-99.1331785
,Lebanon,03/19/2020 23:30,157,4,4,2020-03-20 15:30:00,149,33.8750629,35.843409
,South Africa,03/19/2020 23:30,150,0,0,2020-03-20 15:30:00,150,-28.816623600000003,24.99163900000001
,Kuwait,03/19/2020 23:30,148,0,18,2020-03-20 15:30:00,130,29.2733964,47.4979476
,San Marino,03/19/2020 23:30,144,14,4,2020-03-20 15:30:00,126,43.9458623,12.458306
,United Arab Emirates,03/19/2020 23:30,140,0,31,2020-03-20 15:30:00,109,24.0002488,53.9994829
,Panama,03/19/2020 23:30,137,1,1,2020-03-20 15:30:00,135,8.559559,-81.1308434
,Argentina,03/19/2020 23:30,128,3,3,2020-03-20 15:30:00,122,-34.9964963,-64.9672817
,Colombia,03/19/2020 23:30,128,0,1,2020-03-20 15:30:00,127,2.8894434,-73.78389200000002
,Slovakia,03/19/2020 23:30,124,0,0,2020-03-20 15:30:00,124,48.74115220000001,19.4528646
,Armenia,03/19/2020 23:30,122,0,1,2020-03-20 15:30:00,121,40.7696272,44.6736646
,Croatia,03/19/2020 23:30,110,1,5,2020-03-20 15:30:00,104,45.5643442,17.0118954
Taiwan,Taiwan,03/19/2020 23:30,108,1,26,2020-03-20 15:30:00,81,23.9739374,120.9820179
,Bulgaria,03/19/2020 23:30,107,3,0,2020-03-20 15:30:00,104,42.6073975,25.4856617
,Serbia,03/19/2020 23:30,103,0,1,2020-03-20 15:30:00,102,44.02432279999999,21.0765743
,Uruguay,03/19/2020 23:30,94,0,0,2020-03-20 15:30:00,94,-32.8755548,-56.0201525
,Algeria,03/19/2020 23:30,90,9,32,2020-03-20 15:30:00,49,28.0000272,2.9999825
,Costa Rica,03/19/2020 23:30,89,1,0,2020-03-20 15:30:00,88,10.2735633,-84.0739102
,Latvia,03/19/2020 23:30,86,0,1,2020-03-20 15:30:00,85,56.8406494,24.7537645
,Vietnam,03/19/2020 23:30,85,0,16,2020-03-20 15:30:00,69,13.2904027,108.4265113
,Andorra,03/19/2020 23:30,74,0,1,2020-03-20 15:30:00,73,42.5407167,1.5732033
,Hungary,03/19/2020 23:30,73,1,2,2020-03-20 15:30:00,70,47.1817585,19.5060937
,Brunei,03/19/2020 23:30,73,0,0,2020-03-20 15:30:00,73,4.4137155,114.5653908
,Faeroe Islands,03/19/2020 23:30,72,0,1,2020-03-20 15:30:00,71,62.19850039999999,-6.817412400000001
,Jordan,03/19/2020 23:30,69,0,1,2020-03-20 15:30:00,68,31.1667049,36.941628
,Cyprus,03/19/2020 23:30,67,0,0,2020-03-20 15:30:00,67,34.982301799999995,33.1451285
,Albania,03/19/2020 23:30,64,2,0,2020-03-20 15:30:00,62,41.000028,19.9999619
,Bosnia and Herzegovina,03/19/2020 23:30,64,0,2,2020-03-20 15:30:00,62,44.30534760000001,17.596146700000006
,Morocco,03/19/2020 23:30,63,2,2,2020-03-20 15:30:00,59,31.1728205,-7.3362482
,Sri Lanka,03/19/2020 23:30,60,0,3,2020-03-20 15:30:00,57,7.555494199999999,80.7137847
,Malta,03/19/2020 23:30,53,0,2,2020-03-20 15:30:00,51,35.8885993,14.4476911
,Belarus,03/19/2020 23:30,51,0,5,2020-03-20 15:30:00,46,53.4250605,27.6971358
,North Macedonia,03/19/2020 23:30,50,0,1,2020-03-20 15:30:00,49,41.6171214,21.7168387
,Moldova,03/19/2020 23:30,49,1,1,2020-03-20 15:30:00,47,47.28796079999999,28.5670941
,Kazakhstan,03/19/2020 23:30,49,0,0,2020-03-20 15:30:00,49,47.2286086,65.20931970000001
,Lithuania,03/19/2020 23:30,48,0,1,2020-03-20 15:30:00,47,55.35000030000001,23.7499997
,Oman,03/19/2020 23:30,48,0,13,2020-03-20 15:30:00,35,21.0000287,57.00369010000001
,Palestine,03/19/2020 23:30,47,0,0,2020-03-20 15:30:00,47,31.9469665,35.2738655
,Azerbaijan,03/19/2020 23:30,44,1,7,2020-03-20 15:30:00,36,40.3936294,47.7872508
,Venezuela,03/19/2020 23:30,42,0,0,2020-03-20 15:30:00,42,8.0018709,-66.1109318
,Georgia,03/19/2020 23:30,40,0,1,2020-03-20 15:30:00,39,41.6809707,44.02873820000001
,Tunisia,03/19/2020 23:30,39,1,1,2020-03-20 15:30:00,37,33.8439408,9.400138
,New Zealand,03/19/2020 23:30,39,0,0,2020-03-20 15:30:00,39,-41.5000831,172.8344077
,Cambodia,03/19/2020 23:30,37,0,1,2020-03-20 15:30:00,36,13.5066394,104.869423
,Senegal,03/19/2020 23:30,36,0,2,2020-03-20 15:30:00,34,14.475060699999998,-14.4529612
,Dominican Republic,03/19/2020 23:30,34,2,0,2020-03-20 15:30:00,32,19.0974031,-70.30280259999999
,Burkina Faso,03/19/2020 23:30,33,1,0,2020-03-20 15:30:00,32,12.0753083,-1.6880313999999998
,Guadeloupe,03/19/2020 23:30,33,0,0,2020-03-20 15:30:00,33,16.2490067,-61.56504440000001
,Liechtenstein,03/19/2020 23:30,28,0,0,2020-03-20 15:30:00,28,47.1416307,9.553152699999998
,Reunion,03/19/2020 23:30,28,0,0,2020-03-20 15:30:00,28,-21.1309332,55.5265771
,Ukraine,03/19/2020 23:30,26,3,0,2020-03-20 15:30:00,23,49.4871968,31.2718321
,Honduras,03/19/2020 23:30,24,0,0,2020-03-20 15:30:00,24,15.2572432,-86.0755145
,Martinique,03/19/2020 23:30,23,1,0,2020-03-20 15:30:00,22,14.6367927,-61.0158269
,Uzbekistan,03/19/2020 23:30,23,0,0,2020-03-20 15:30:00,23,41.32373,63.9528098
,Afghanistan,03/19/2020 23:30,22,0,1,2020-03-20 15:30:00,21,33.7680065,66.2385139
,Bangladesh,03/19/2020 23:30,18,1,3,2020-03-20 15:30:00,14,24.4768598,90.2932299
Macau,Macau,03/19/2020 23:30,17,0,10,2020-03-20 15:30:00,7,22.17576050000001,113.5514142
,Bolivia,03/19/2020 23:30,17,0,0,2020-03-20 15:30:00,17,-17.056869600000002,-64.9912286
,Cuba,03/19/2020 23:30,16,1,0,2020-03-20 15:30:00,15,23.0131338,-80.8328748
,Jamaica,03/19/2020 23:30,15,1,2,2020-03-20 15:30:00,12,18.1152958,-77.15984549999997
,French Guiana,03/19/2020 23:30,15,0,0,2020-03-20 15:30:00,15,4.0039882,-52.999998
,DRC,03/19/2020 23:30,14,0,0,2020-03-20 15:30:00,14,-4.0324901,22.4574787
