Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
,Poland,04/17/2020 16:30,8379,332,866,179654,2020-04-18 07:30:00,7181,37980000,52.215933,19.134422,Europe,Worldwide
,Romania,04/17/2020 16:30,8067,411,1508,85805,2020-04-18 07:30:00,6148,19530000,45.98521289999999,24.6859225,Europe,Worldwide
,Saudi Arabia,04/17/2020 16:30,7142,87,1049,150000,2020-04-18 07:30:00,6006,32940000,25.624261800000003,42.352832799999995,Asia,Worldwide
,Denmark,04/17/2020 16:30,7073,336,3389,87024,2020-04-18 07:30:00,3348,5603000,55.670249,10.333328300000002,Europe,Worldwide
,Pakistan,04/17/2020 16:30,7025,135,1765,84704,2020-04-18 07:30:00,5125,197000000,30.3308401,71.247499,Asia,Worldwide
,Norway,04/17/2020 16:30,6937,161,32,136236,2020-04-18 07:30:00,6744,5368000,60.5000209,9.099971499999999,Europe,Worldwide
,Czechia,04/17/2020 16:30,6499,173,1174,154307,2020-04-18 07:30:00,5152,10650000,49.816700299999994,15.4749544,Europe,Worldwide
,United Arab Emirates,04/17/2020 16:30,6302,37,1188,767000,2020-04-18 07:30:00,5077,9400000,24.0002488,53.999482900000004,Asia,Worldwide
,Mexico,04/17/2020 16:30,6297,486,2125,40091,2020-04-18 07:30:00,3686,129200000,19.4326296,-99.1331785,North America,Worldwide
,Indonesia,04/17/2020 16:30,5923,520,607,37134,2020-04-18 07:30:00,4796,264000000,-2.4833826,117.89028529999999,Asia,Worldwide
,Philippines,04/17/2020 16:30,5878,387,487,48171,2020-04-18 07:30:00,5004,104900000,12.750348599999999,122.7312101,Asia,Worldwide
,Serbia,04/17/2020 16:30,5690,110,534,32566,2020-04-18 07:30:00,5046,7022000,44.02432279999999,21.0765743,Europe,Worldwide
,Malaysia,04/17/2020 16:30,5251,86,2967,96695,2020-04-18 07:30:00,2198,31620000,4.5693754,102.2656823,Asia,Worldwide
,Singapore,04/17/2020 16:30,5050,11,708,94796,2020-04-18 07:30:00,4331,5612000,1.340863,103.8303918,Asia,Worldwide
,Belarus,04/17/2020 16:30,4779,42,342,86813,2020-04-18 07:30:00,4395,9508000,53.4250605,27.6971358,Europe,Worldwide
,Qatar,04/17/2020 16:30,4663,7,464,58328,2020-04-18 07:30:00,4192,2639000,25.3336984,51.2295295,Asia,Worldwide
,Ukraine,04/17/2020 16:30,4662,125,246,47096,2020-04-18 07:30:00,4291,42220000,49.4871968,31.2718321,Europe,Worldwide
,Dominican Republic,04/17/2020 16:30,4126,200,268,13282,2020-04-18 07:30:00,3658,10770000,19.0974031,-70.30280259999999,North America,Worldwide
,Panama,04/17/2020 16:30,4016,109,98,17850,2020-04-18 07:30:00,3809,4099000,8.559559,-81.1308434,North America,Worldwide
,Finland,04/17/2020 16:30,3489,82,1700,52500,2020-04-18 07:30:00,1707,5513000,63.2467777,25.9209164,Europe,Worldwide
,Luxembourg,04/17/2020 16:30,3480,72,579,32394,2020-04-18 07:30:00,2829,602005,49.8158683,6.1296751,Europe,Worldwide
,Colombia,04/17/2020 16:30,3233,144,550,52085,2020-04-18 07:30:00,2539,49070000,2.8894433999999998,-73.78389200000001,South America,Worldwide
,Egypt,04/17/2020 16:30,2844,205,646,25000,2020-04-18 07:30:00,1993,97550000,26.254049300000002,29.2675469,Africa,Worldwide
,South Africa,04/17/2020 16:30,2783,50,903,100827,2020-04-18 07:30:00,1830,56720000,-28.816623600000003,24.991639000000003,Africa,Worldwide
,Thailand,04/17/2020 16:30,2700,47,1689,100498,2020-04-18 07:30:00,964,69040000,14.8971921,100.83273,Asia,Worldwide
,Argentina,04/17/2020 16:30,2669,123,666,28650,2020-04-18 07:30:00,1880,44270000,-34.9964963,-64.9672817,South America,Worldwide
,Morocco,04/17/2020 16:30,2564,135,281,12952,2020-04-18 07:30:00,2148,35740000,31.1728205,-7.3362482,Africa,Worldwide
,Algeria,04/17/2020 16:30,2418,364,846,3359,2020-04-18 07:30:00,1208,41320000,28.000027199999998,2.9999825,Africa,Worldwide
,Moldova,04/17/2020 16:30,2264,56,276,9848,2020-04-18 07:30:00,1932,3550000,47.28796079999999,28.5670941,Europe,Worldwide
,Greece,04/17/2020 16:30,2224,108,269,50771,2020-04-18 07:30:00,1847,10740000,38.995368299999996,21.987713199999998,Europe,Worldwide
,Bangladesh,04/17/2020 16:30,1838,75,58,19193,2020-04-18 07:30:00,1705,164700000,24.4768598,90.29322990000001,Asia,Worldwide
,Croatia,04/17/2020 16:30,1814,36,600,20953,2020-04-18 07:30:00,1178,4067000,45.5643442,17.0118954,Europe,Worldwide
,Hungary,04/17/2020 16:30,1763,156,207,41590,2020-04-18 07:30:00,1400,9773000,47.1817585,19.5060937,Europe,Worldwide
,Iceland,04/17/2020 16:30,1754,9,1224,39536,2020-04-18 07:30:00,521,364260,64.9841821,-18.1059013,Europe,Worldwide
,Bahrain,04/17/2020 16:30,1740,7,725,79564,2020-04-18 07:30:00,1008,1493000,26.155124899999997,50.5344606,Asia,Worldwide
,Kuwait,04/17/2020 16:30,1658,5,258,0,2020-04-18 07:30:00,1395,4137000,29.2733964,47.4979476,Asia,Worldwide
,Kazakhstan,04/17/2020 16:30,1546,17,347,85735,2020-04-18 07:30:00,1182,18040000,47.2286086,65.20931970000001,Asia,Worldwide
,Iraq,04/17/2020 16:30,1482,81,906,51737,2020-04-18 07:30:00,495,38270000,33.0955793,44.174977500000004,Asia,Worldwide
,Estonia,04/17/2020 16:30,1459,38,145,37594,2020-04-18 07:30:00,1276,1328000,58.75237779999999,25.3319078,Europe,Worldwide
,New Zealand,04/17/2020 16:30,1409,11,816,74401,2020-04-18 07:30:00,582,4794000,-41.5000831,172.83440769999999,Oceania,Worldwide
,Uzbekistan,04/17/2020 16:30,1405,4,156,136000,2020-04-18 07:30:00,1245,32390000,41.32373,63.9528098,Asia,Worldwide
,Azerbaijan,04/17/2020 16:30,1340,15,528,86607,2020-04-18 07:30:00,797,9898000,40.3936294,47.787250799999995,Asia,Worldwide
,Slovenia,04/17/2020 16:30,1304,66,174,39330,2020-04-18 07:30:00,1064,2067000,45.813311299999995,14.4808369,Europe,Worldwide
,Bosnia and Herzegovina,04/17/2020 16:30,1214,46,320,15751,2020-04-18 07:30:00,848,3507000,44.305347600000005,17.596146700000002,Europe,Worldwide
,Armenia,04/17/2020 16:30,1201,19,402,10793,2020-04-18 07:30:00,780,2973000,40.7696272,44.6736646,Asia,Worldwide
,Lithuania,04/17/2020 16:30,1149,33,210,53101,2020-04-18 07:30:00,906,2794000,55.350000300000005,23.7499997,Europe,Worldwide
,North Macedonia,04/17/2020 16:30,1117,49,139,10859,2020-04-18 07:30:00,929,2077000,41.617121399999995,21.7168387,Europe,Worldwide
,Oman,04/17/2020 16:30,1069,6,176,0,2020-04-18 07:30:00,887,4636000,21.000028699999998,57.00369010000001,Asia,Worldwide
,Slovakia,04/17/2020 16:30,1049,9,175,37732,2020-04-18 07:30:00,865,5450000,48.74115220000001,19.4528646,Europe,Worldwide
Hong Kong,Hong Kong,04/17/2020 16:30,1022,4,533,131786,2020-04-18 07:30:00,485,7392000,22.2793278,114.16281310000001,Asia,Worldwide
,Cameroon,04/17/2020 16:30,996,22,164,0,2020-04-18 07:30:00,810,24050000,4.6125522000000005,13.153581099999998,Africa,Worldwide
,Cuba,04/17/2020 16:30,923,31,192,23317,2020-04-18 07:30:00,700,11480000,23.013133800000002,-80.8328748,North America,Worldwide
,Afghanistan,04/17/2020 16:30,906,30,99,0,2020-04-18 07:30:00,777,35530000,33.7680065,66.2385139,Asia,Worldwide
,Bulgaria,04/17/2020 16:30,846,41,141,18502,2020-04-18 07:30:00,664,7050000,42.6073975,25.4856617,Europe,Worldwide
,Tunisia,04/17/2020 16:30,822,37,43,13930,2020-04-18 07:30:00,742,11530000,33.8439408,9.400138,Africa,Worldwide
,Cyprus,04/17/2020 16:30,750,12,77,29075,2020-04-18 07:30:00,661,1170000,34.982301799999995,33.1451285,Europe,Worldwide
,Djibouti,04/17/2020 16:30,732,2,76,7486,2020-04-18 07:30:00,654,956985,11.8145966,42.8453061,Africa,Worldwide
Yokohama,Japan,04/17/2020 16:30,712,13,644,0,2020-04-18 07:30:00,55,3700,35.444990999999995,139.636768,Asia,Worldwide
,Andorra,04/17/2020 16:30,696,35,191,1673,2020-04-18 07:30:00,470,76965,42.540716700000004,1.5732033,Europe,Worldwide
,Ivory Coast,04/17/2020 16:30,688,6,193,0,2020-04-18 07:30:00,489,25717000,7.9897371,-5.5679457999999995,Africa,Worldwide
